Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Latitude,Longitude
CAVALIER HEALTHCARE OF ENGLAND,045442,400 STUTTGART HIGHWAY,ENGLAND,Lonoke,27,0,5,3,44,35,0,0,34.546373,-91.952502
ENCORE HEALTHCARE AND REHABILITATION,045393,1820 WEST MOLINE STREET,MALVERN,Hot Spring,49,11,11,6,70,24,13,2,34.376529,-92.834352
"JAMESTOWN NURSING AND REHAB, LLC",045435,2001 HAMPTON PLACE,ROGERS,Benton,60,6,8,1,108,39,28,0,36.310253,-94.167558
LAWRENCE HALL HEALTH & REHABILITATION,045452,1051 WEST FREE STREET,WALNUT RIDGE,Lawrence,105,43,22,13,104,29,28,0,36.072219,-90.966734
SOUTHERN TRACE REHABILITATION AND CARE CENTER,045305,22515 I 30,BRYANT,Saline,48,16,24,1,97,22,0,0,34.615714,-92.503833
RIDGECREST HEALTH AND REHABILITATION,045327,5504 E JOHNSON AVE,JONESBORO,Craighead,43,57,21,8,98,32,4,0,35.86419500000001,-90.62549
"COLONEL GLENN HEALTH AND REHAB, LLC",045460,13700 DAVID O DODD ROAD,LITTLE ROCK,Pulaski,5,0,11,0,84,13,1,0,34.708313,-92.410304
OAK MANOR NURSING AND REHABILITATION CENTER INC,045301,150 MORTON AVENUE,BOONEVILLE,Logan,1,6,18,0,56,2,10,0,35.138945,-93.93589
LITTLE RIVER NURSING & REHAB,045244,162 HWY 32-2A,ASHDOWN,Little River,39,12,42,17,55,37,10,2,33.659057,-94.111987
"MITCHELL'S NURSING HOME, INC",045454,501 W 10TH,DANVILLE,Yell,73,23,13,12,85,58,22,2,35.052314,-93.397618
THE GREEN HOUSE COTTAGES OF POPLAR GROVE,045466,7801 KANIS RD,LITTLE ROCK,Pulaski,9,123,6,0,111,9,21,0,34.740897,-92.361614
RUSSELLVILLE NURSING AND REHABILITATION CENTER,045340,215 SOUTH PORTLAND AVENUE,RUSSELLVILLE,Pope,100,17,3,0,73,12,1,0,35.291515,-93.170899
BRIGHTON RIDGE,045242,235 HUNTSVILLE ROAD,EUREKA SPRINGS,Carroll,0,0,2,0,29,3,3,0,36.381056,-93.741883
EVERGREEN LIVING CENTER AT STAGECOACH,045457,6907 HIGHWAY 5 NORTH,BRYANT,Saline,0,14,13,0,78,2,13,0,34.633807,-92.482591
"THE WATERS OF FORT SMITH, LLC",045345,5301 WHEELER AVENUE,FORT SMITH,Sebastian,47,0,18,7,105,32,0,0,35.334272,-94.42729700000001
"DARDANELLE NURSING AND REHABILITATION CENTER,INC",045290,2199 STATE HWY 7 NORTH,DARDANELLE,Yell,1,5,11,0,93,15,0,1,35.205014,-93.154794
PLEASANT MANOR NURSING & REHAB,045227,950 HOMESTEAD,ASHDOWN,Little River,63,2,30,21,56,41,2,0,33.665135,-94.116603
"THE WATERS OF NEWPORT, LLC",045334,326 LINDLEY LANE,NEWPORT,Jackson,6,0,3,2,75,12,1,0,35.634201,-91.261075
ENCORE HEALTHCARE AND REHABILITATION OF WEST LITTL,045390,12111 HINSON RD,LITTLE ROCK,Pulaski,42,10,45,6,71,16,8,0,34.772645000000004,-92.408378
"GLENWOOD HEALTH AND REHABILITATION, LLC",045403,615 MOUNTAIN VIEW ROAD,GLENWOOD,Pike,3,0,9,1,44,9,0,0,34.332334,-93.540691
CHAPEL RIDGE HEALTH AND REHAB,045364,4623 ROGERS AVE,FORT SMITH,Sebastian,52,8,34,9,65,29,21,0,35.367743,-94.380337
SUMMIT HEALTH & REHAB CENTER,045411,506 NORTH LONG AVENUE,TAYLOR,Columbia,5,1,6,2,35,5,0,0,33.104767,-93.464418
WOODBRIAR NURSING HOME,045384,204 CATHERINE ST,HARRISBURG,Poinsett,56,10,17,14,48,42,1,0,35.571489,-90.723368
LAKESIDE HEALTH AND REHAB,045315,1207 WILLOW RUN ROAD,LAKE CITY,Craighead,39,0,20,0,62,17,0,0,35.818597,-90.442914
"CRESTPARK MARIANNA, L L C",045449,700 WEST CHESTNUT,MARIANNA,Lee,0,0,9,0,57,6,0,0,34.774679000000006,-90.778121
HILLCREST HOME,045441,1111 MAPLEWOOD RD,HARRISON,Boone,15,31,19,0,91,24,63,0,36.241516,-93.103821
THE VILLAGES OF GENERAL BAPTIST HEALTH CARE WEST,045379,6810 SOUTH HAZEL STREET,PINE BLUFF,Jefferson,26,11,5,3,102,21,2,0,34.15534,-92.02399
PIONEER THERAPY AND LIVING,045322,1506 EAST MAIN STREET,MELBOURNE,Izard,48,0,8,1,75,27,3,0,36.05917,-91.880306
OZARK HEALTH NURSING AND REHAB  CENTER,045414,2500 HIGHWAY 65 SOUTH,CLINTON,Van Buren,1,1,0,0,73,4,0,0,35.559375,-92.449913
HERITAGE SQUARE HEALTHCARE CENTER,045366,710 NO RUDDLE ROAD,BLYTHEVILLE,Mississippi,39,15,87,9,68,43,19,0,35.92116,-89.891933
SOUTHERN PINES HEALTH AND REHAB,045470,700 MANOR RD,PRESCOTT,Nevada,58,0,12,12,44,23,5,0,33.787601,-93.380341
VILLAGE SPRINGS HEALTH AND REHABILITATION,045254,1208 NORTH HIGHWAY 7,HOT SPRINGS,Garland,22,10,8,6,86,11,2,0,34.593809,-93.004884
"CRESTPARK STUTTGART, LLC",045303,707 WEST 20TH STREET,STUTTGART,Arkansas,40,0,13,1,57,23,4,0,34.483162,-91.560024
WILLOWBEND HEALTHCARE AND REHABILITATION,045412,830 CANAL ST,MARION,Crittenden,48,3,20,7,106,31,11,0,0,0
PINK BUD HOME FOR THE GOLDEN YEARS,045456,400 SO COKER,GREENWOOD,Sebastian,59,39,25,12,60,51,25,0,0,0
HIRAM SHADDOX HEALTH AND REHAB,045471,1100 PINETREE LANE,MOUNTAIN HOME,Baxter,2,0,6,0,51,4,0,0,36.329391,-92.39696
"HIGHLAND COURT, A REHABILITATION AND RESIDENT CARE",045353,942 NORTH HIGHWAY 65,MARSHALL,Searcy,19,4,24,1,46,18,0,0,35.908013,-92.66092200000001
"BELVEDERE NURSING AND REHABILITATION CENTER, LLC",045463,2600 PARK AVE,HOT SPRINGS,Garland,1,0,2,0,72,7,0,0,34.556046,-93.008525
"THE WATERS OF NORTH LITTLE ROCK, LLC",045385,2501 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,Pulaski,68,2,5,5,96,29,0,0,34.779371,-92.289773
NEWTON COUNTY NURSING HOME,04E090,610 EAST COURT STREET,JASPER,Newton,51,18,20,16,38,36,17,0,36.012862,-93.179438
EAGLECREST NURSING AND REHAB,045352,916 HIGHWAY 62/412,ASH FLAT,Sharp,47,0,9,0,81,20,0,0,36.238518000000006,-91.596159
BARNES HEALTHCARE,045314,1010 BARNES STREET,LONOKE,Lonoke,0,0,27,0,55,65,16,0,34.793023,-91.895455
COVINGTON COURT HEALTH AND REHABILITATION CENTER,045363,4500 OLD GREENWOOD RD,FORT SMITH,Sebastian,94,19,25,9,100,46,7,0,35.340004,-94.392259
HIGHLAND HEALTHCARE AND REHABILITATION CENTER,045402,670 ROGERS ROAD,BELLA VISTA,Benton,37,5,15,8,42,32,0,0,36.452896,-94.295013
OAKDALE NURSING FACILITY,045418,101 CYNTHIA STREET,JUDSONIA,White,0,0,21,0,95,8,0,0,35.26867,-91.665225
"ST JOHNS PLACE OF ARKANSAS, LLC",045396,1400 HWY 79/167 BYPASS,FORDYCE,Dallas,36,1,20,4,45,19,2,0,33.823702,-92.431118
WOODRUFF COUNTY HEALTH CENTER,045222,139 WEST HIGHWAY 64,MCCRORY,Woodruff,5,0,20,0,77,5,2,0,35.269183000000005,-91.204114
BEAR CREEK HEALTHCARE LLC,045287,322 WEST COLLIN RAYE DRIVE,DE QUEEN,Sevier,0,0,3,0,41,2,0,0,34.045611,-94.341058
DIERKS HEALTH & REHAB,045346,402 S ARKANSAS AVENUE,DIERKS,Howard,,,,,,,,,34.114536,-94.019505
THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,045422,103 ALEXANDRIA DRIVE,MAUMELLE,Pulaski,43,15,26,12,41,15,2,0,34.875836,-92.394485
ARKANSAS VETERANS HOME AT FAYETTEVILLE,045417,1179 NORTH COLLEGE AVENUE,FAYETTEVILLE,Washington,15,6,17,4,70,21,12,0,36.078359,-94.157008
LONGMEADOW NURSING CENTER - CAMDEN,045348,365 ALPHA STREET,CAMDEN,Ouachita,0,0,2,0,21,0,0,0,33.585439,-92.885101
AMBERWOOD HEALTH AND REHABILITATION,045464,6420 ALCOA ROAD,BENTON,Saline,1,75,7,0,87,11,16,0,34.594581000000005,-92.53468
SOMERSET SENIOR LIVING AT PREMIER,045357,3600 RICHARDS ROAD,NORTH LITTLE ROCK,Pulaski,0,10,22,0,111,13,19,0,34.785488,-92.211692
"NASHVILLE NURSING AND REHAB, INC",045342,810 NORTH 8TH ST,NASHVILLE,Howard,27,0,9,1,41,16,1,0,33.952523,-93.855622
LAKEWOOD THERAPY AND LIVING CENTER,045404,260 LAKEPARK DRIVE,HOT SPRINGS,Garland,1,6,0,0,50,6,4,0,34.451381,-93.02924
VAN BUREN HEALTHCARE AND REHABILITATION CENTER,045268,1404 NORTH 28TH STREET,VAN BUREN,Crawford,5,32,20,1,95,8,18,0,35.454548,-94.32591500000001
SHERIDAN HEALTHCARE AND REHABILITATION CENTER,045256,113 SOUTH BRIARWOOD DRIVE,SHERIDAN,Grant,11,1,25,1,63,4,1,0,34.310931,-92.415163
WOODLAND HILLS HEALTHCARE AND REHABILITATION,045378,1320 WEST BRADEN STREET,JACKSONVILLE,Pulaski,59,6,31,21,50,51,14,0,34.872378,-92.124182
"GREYSTONE NURSING AND REHAB, LLC",045453,121 SPRING VALLEY ROAD,CABOT,Lonoke,1,3,17,0,65,17,3,0,35.018964,-92.0732
"CLA-CLIF NURSING AND REHAB CENTER, INC",045430,1214 NORTH MAIN,BRINKLEY,Monroe,0,0,9,0,44,5,0,0,34.903325,-91.197709
KATHERINE'S PLACE AT WEDINGTON,045434,4405 WEST PERSIMMON STREET,FAYETTEVILLE,Washington,9,0,15,0,101,6,1,0,36.071584,-94.223564
THE PINES NURSING AND REHABILITATION CENTER,045243,524 CARPENTER DAM ROAD,HOT SPRINGS,Garland,55,1,18,2,82,51,1,0,34.463665,-93.022773
TIMBERLANE HEALTH & REHABILITATION,045416,2002 TIMBERWOOD ROAD,EL DORADO,Union,36,51,20,8,75,27,23,0,33.204302,-92.690158
STELLA MANOR NURSING AND REHABILITATION CENTER,045247,400 NORTH VANCOUVER AVENUE,RUSSELLVILLE,Pope,4,0,0,0,73,12,0,0,35.286758,-93.152568
LEGACY HEALTH AND REHABILITATION CENTER,045267,3310 NORTH 50TH STREET,FORT SMITH,Sebastian,76,4,30,7,72,47,10,0,35.411354,-94.375853
PARIS HEALTH AND REHABILITATION CENTER,045300,1414 S ELM ST,PARIS,Logan,31,33,23,5,94,22,12,0,35.280984,-93.73011900000002
RICH MOUNTAIN NURSING AND REHABILITATION CENTER,045358,306 HORNBECK AVENUE,MENA,Polk,1,0,16,0,76,5,9,0,34.583109,-94.22859
"PRAIRIE GROVE HEALTH AND REHABILITATION, LLC",045409,621 SOUTH MOCK STREET,PRAIRIE GROVE,Washington,0,17,11,0,59,1,40,0,35.968084,-94.317827
TWIN LAKES THERAPY AND LIVING,045280,6152 HIGHWAY 202 EAST,FLIPPIN,Marion,6,6,3,0,67,6,2,0,36.283425,-92.611119
"CHAMBERS NURSING HOME CENTER, INC",045318,1001 EAST PARK STREET,CARLISLE,Lonoke,16,29,10,0,65,33,24,0,34.78131,-91.735315
ATKINS NURSING AND REHABILITATION CENTER,045339,605 NORTHWEST 7TH STREET,ATKINS,Pope,19,3,11,1,57,18,13,0,35.249232,-92.943537
WHITE RIVER HEALTHCARE,045401,1569 AR HIGHWAY 56,CALICO ROCK,Izard,1,3,11,0,53,5,1,0,36.13411,-92.127741
"LONOKE HEALTH AND REHAB CENTER, LLC",045289,1501 LINCOLN STREET,LONOKE,Lonoke,24,16,12,6,51,23,12,1,34.771714,-91.909268
GOSNELL HEALTH AND REHAB,045439,700 MOODY STREET,GOSNELL,Mississippi,55,16,30,11,52,26,7,0,35.963208,-89.973822
QUAPAW CARE AND REHABILITATION CENTER LLC,045338,138 BRIGHTON TERRACE,HOT SPRINGS,Garland,38,4,13,3,71,26,6,0,34.448651,-93.090098
ST ANDREWS HEALTHCARE,045313,3501 COLLEGE AVENUE,CONWAY,Faulkner,25,1,10,1,60,14,9,0,35.085426,-92.488422
DES ARC NURSING AND REHABILITATION CENTER,045236,2216 WEST MAIN STREET,DES ARC,Prairie,37,45,10,1,55,28,15,0,34.977335,-91.519958
QUAIL RUN HEALTH AND REHAB,045468,333 MELODY DRIVE,TRUMANN,Poinsett,36,4,2,0,42,29,14,0,35.667154,-90.524181
"THE WATERS OF CUMBERLAND, LLC",045359,1516  CUMBERLAND ST,LITTLE ROCK,Pulaski,69,0,0,0,61,42,6,0,34.733617,-92.270715
"SILOAM HEALTHCARE, LLC",045356,811 WEST ELGIN STREET,SILOAM SPRINGS,Benton,59,2,24,14,68,43,7,1,36.190018,-94.54913
CONWAY HEALTHCARE AND REHABILITATION CENTER,045245,2603 DAVE WARD DRIVE,CONWAY,Faulkner,7,0,10,0,68,7,2,0,35.070376,-92.465685
HERITAGE LIVING CENTER,045308,1175 MORNINGSIDE DRIVE,CONWAY,Faulkner,84,139,33,5,115,38,31,0,35.095246,-92.465825
MAPLE HEALTHCARE,045228,200 S MAPLE STREET,HAZEN,Prairie,1,1,5,0,34,6,3,0,34.778946,-91.56222000000001
THE MAPLES AT HAR-BER MEADOWS,045407,6456 LYNCHS PRAIRIE COVE,SPRINGDALE,Washington,78,19,34,14,99,53,5,0,36.177649,-94.203058
"MURFREESBORO REHAB AND NURSING, INC",045415,110 W 13TH STREET,MURFREESBORO,Pike,1,0,2,0,40,4,0,0,34.070661,-93.690594
"SUPERIOR HEALTH & REHAB, LLC",045467,625 TOMMY LEWIS DR,CONWAY,Faulkner,3,3,8,0,64,7,18,0,35.061737,-92.423992
SOUTHFORK RIVER THERAPY AND LIVING,045248,624 HWY 62/412 WEST,SALEM,Fulton,24,2,11,0,72,9,5,0,36.37279,-91.83667300000002
CRAIGHEAD NURSING CENTER,04A158,5101 HARRISBURG RD,JONESBORO,Craighead,32,34,32,7,68,23,66,0,35.77927,-90.68559000000002
"THE WATERS OF WOODLAND HILLS, LLC",045259,8701 RILEY DRIVE,LITTLE ROCK,Pulaski,0,0,3,0,29,3,0,1,34.744045,-92.364423
RECTOR NURSING AND REHAB,045394,1023 HIGHWAY 119,RECTOR,Clay,31,8,16,7,39,15,4,0,36.257213,-90.283775
GREENE ACRES NURSING HOME,045424,2402 COUNTRY CLUB ROAD,PARAGOULD,Greene,3,0,12,0,,4,0,0,36.070811,-90.517416
WOOD-LAWN HEIGHTS,045317,2800 NEELEY STREET,BATESVILLE,Independence,0,0,20,0,123,18,11,0,35.771365,-91.620626
"APPLE CREEK HEALTH AND REHAB, LLC",045465,1570 W CENTERTON BLVD,CENTERTON,Benton,81,7,23,7,80,51,38,0,36.358887,-94.307839
ROBINSON NURSING AND REHABILITATION CENTER LLC,045374,519 DONOVAN BRILEY BLVD.,NORTH LITTLE ROCK,Pulaski,,,,,,,,,34.813952,-92.272115
WALDRON NURSING CENTER INC,045383,1369 WEST 6TH STREET,WALDRON,Scott,2,16,11,0,65,3,36,0,34.896792,-94.106288
CARE MANOR NURSING AND REHAB,045351,804 BURNETT DRIVE,MOUNTAIN HOME,Baxter,46,89,19,10,57,33,24,0,36.340127,-92.399249
ARBOR OAKS HEALTHCARE AND REHABILITATION CENTER,045270,105 RUSSELLVILLE ROAD,MALVERN,Hot Spring,23,9,10,5,65,18,7,0,34.34723,-92.823463
LAKE HAMILTON HEALTH AND REHAB,045445,120 PITTMAN ROAD,HOT SPRINGS,Garland,40,5,5,4,56,35,5,0,34.452945,-93.166804
AUTUMN HILL,045295,500 HAMMOND AVENUE,BERRYVILLE,Carroll,34,15,18,15,42,24,16,0,36.359576,-93.552687
MIDTOWN POST ACUTE AND REHABILITATION - A WATERS C,045450,5720 WEST MARKHAM STREET,LITTLE ROCK,Pulaski,7,1,1,1,93,14,1,0,34.752024,-92.338409
ALMA HEALTHCARE AND REHABILITATION CENTER,045370,401 HEATHER LANE,ALMA,Crawford,33,0,22,11,45,24,0,0,35.489639,-94.229807
METHODIST HEALTH AND REHAB,045413,7425 EUPER LANE,FORT SMITH,Sebastian,8,48,43,5,115,30,16,0,35.362905,-94.350061
MONTGOMERY COUNTY NURSING HOME,045266,741 SOUTH DRIVE,MOUNT IDA,Montgomery,21,3,19,4,76,42,2,0,34.545945,-93.630768
"PRESBYTERIAN VILLAGE, INC",045436,500 BROOKSIDE DRIVE,LITTLE ROCK,Pulaski,13,1,8,0,53,8,0,0,34.757365,-92.373075
ARKANSAS HEALTH CENTER,04A293,6701 HWY 67,BENTON,Saline,14,1,0,0,220,32,45,0,34.525117,-92.654948
BARROW CREEK HEALTH AND REHAB,045432,2600  BARROW ROAD,LITTLE ROCK,Pulaski,0,0,3,0,82,10,1,0,34.73108,-92.37266
FIANNA HILLS NURSING AND REHABILITATION CENTER,045354,8411 SOUTH 28TH STREET,FORT SMITH,Sebastian,7,0,2,0,77,9,0,0,35.303899,-94.405288
"BEEBE RETIREMENT CENTER, INC.",045304,709 MCAFEE LANE,BEEBE,White,,,,,,,,,35.077745,-91.892674
"BRADFORD HOUSE NURSING AND REHAB, LLC",045373,1202 S E 30TH STREET,BENTONVILLE,Benton,50,31,12,3,69,37,40,0,36.34013,-94.193745
"THE WATERS OF WHITE HALL, LLC",045372,9209 DOLLARWAY ROAD,WHITE HALL,Jefferson,60,3,51,15,66,55,6,0,34.283076,-92.095657
COMMUNITY COMPASSION CENTER OF YELLVILLE,045451,620 NORTH PANTHER AVENUE,YELLVILLE,Marion,1,0,17,0,54,4,6,0,36.230713,-92.686173
HILLCREST CARE AND REHAB,045306,1421 WEST SECOND ST NORTH,PRESCOTT,Nevada,4,10,3,0,70,15,5,0,33.810155,-93.377618
HARRIS HEALTH AND REHAB,045440,287 SOUTH COUNTRY CLUB ROAD,OSCEOLA,Mississippi,43,10,18,6,59,25,12,0,35.702442,-90.017372
OAK RIDGE HEALTH AND REHABILITATION,045271,501 HUDSON ST,EL DORADO,Union,35,0,8,1,85,10,1,0,33.207837,-92.641362
HEATHER MANOR NURSING AND REHABILITATION CENTER,045337,400 WEST 23RD STREET,HOPE,Hempstead,3,34,26,0,91,6,35,0,33.646442,-93.592222
EDGEWOOD HEALTH AND REHAB,045428,1393 E DON TYSON PARKWAY,SPRINGDALE,Washington,35,12,8,0,76,50,12,0,36.152349,-94.116154
MEADOWVIEW HEALTHCARE AND REHAB,045341,825 NORTH GASKILL,HUNTSVILLE,Madison,5,2,0,0,47,10,2,0,36.093753,-93.742881
BAILEY CREEK HEALTH AND REHAB,045241,1621 EAST 42ND ST,TEXARKANA,Miller,64,30,13,6,62,21,3,0,33.463675,-94.026265
"WESTWOOD HEALTH AND REHAB, INC",045371,802 S WEST END STREET,SPRINGDALE,Washington,14,71,8,3,61,14,2,0,36.177063,-94.146973
"LEGACY HEIGHTS NURSING AND REHAB, LLC",045410,900 WEST 12TH ST,RUSSELLVILLE,Pope,57,9,19,7,58,26,42,0,35.267825,-93.143659
POCAHONTAS HEALTHCARE AND REHABILITATION CENTER,045284,105 COUNTRY CLUB ROAD,POCAHONTAS,Randolph,4,4,10,0,50,3,30,0,36.288874,-90.995932
ASHLEY REHABILITATION AND HEALTH CARE CENTER,045421,2600 N 22ND STREET,ROGERS,Benton,7,22,9,0,67,12,19,0,36.357025,-94.147776
GOOD SAMARITAN SOCIETY - MOUNTAIN HOME,045250,300 GOOD SAMARITAN DRIVE,MOUNTAIN HOME,Baxter,0,0,7,0,36,3,1,0,36.31491,-92.35198
GREENHURST NURSING CENTER,045447,226 SKYLER DRIVE,CHARLESTON,Franklin,1,0,22,0,96,6,19,0,35.29895,-94.013466
CORNING THERAPY AND LIVING CENTER,045433,831 NORTH MISSOURI,CORNING,Clay,1,1,3,0,53,6,1,0,36.41992,-90.586199
"ASHTON PLACE HEALTH AND REHAB, LLC",045419,318 STROZIER LANE,BARLING,Sebastian,29,7,28,7,84,25,20,3,35.32769,-94.3145
ST ELIZABETH'S PLACE,045380,3010 MIDDLEFIELD DRIVE,JONESBORO,Craighead,54,5,15,0,72,32,8,0,35.807622,-90.664643
MONETTE MANOR LLC,045312,669 HWY 139 NORTH,MONETTE,Craighead,71,0,12,6,64,37,1,0,35.899618,-90.341438
CRAWFORD HEALTHCARE AND REHABILITATION CENTER,045326,2010 MAIN STREET,VAN BUREN,Crawford,4,0,7,0,81,9,5,0,35.436514,-94.337511
DEWITT NURSING HOME,045365,1605 SOUTH MADISON ST,DE WITT,Arkansas,22,1,5,1,29,18,2,0,34.280358,-91.33897300000001
"SHERWOOD NURSING & REHABILITATION CENTER, INC",045376,245 INDIAN BAY DRIVE,SHERWOOD,Pulaski,1,2,22,0,75,12,2,0,34.843071,-92.189164
THREE RIVERS HEALTHCARE AND REHABILITATION,045391,33904 HIGHWAY 63 E,MARKED TREE,Poinsett,50,36,4,4,90,46,31,0,0,0
PROMENADE HEALTH AND REHABILITATION,045361,1101 S PROMENADE BOULEVARD,ROGERS,Benton,0,27,10,0,77,3,21,0,36.325763,-94.177826
ALLEGIANT HEALTHCARE OF MESA,035193,3130 EAST BROADWAY ROAD,MESA,Maricopa,24,33,19,1,109,7,4,0,33.408202,-111.763378
SOUTH MOUNTAIN POST ACUTE,035241,8008 S.  JESSE OWENS PARKWAY,PHOENIX,Maricopa,49,34,15,4,102,40,24,0,33.374581,-112.068267
HAVEN OF YUMA,035197,2470 SOUTH ARIZONA AVENUE,YUMA,Yuma,55,9,39,17,74,52,22,0,32.683163,-114.615987
SANTA ROSA CARE CENTER,035004,1650 NORTH SANTA ROSA AVENUE,TUCSON,Pima,1,0,12,0,115,6,0,0,32.242612,-110.886223
GOOD SAMARITAN SOCIETY-PRESCOTT VILLAGE,035158,1030 SCOTT DRIVE,PRESCOTT,Yavapai,6,11,6,0,41,8,3,0,34.562345,-112.474635
ADVANCED HEALTHCARE OF MESA,035266,5755 EAST MAIN STREET,MESA,Maricopa,16,6,1,0,38,26,21,0,33.415513000000004,-111.707295
MISSION PALMS POST ACUTE,035071,6461 EAST BAYWOOD AVENUE,MESA,Maricopa,0,3,45,21,119,4,2,0,33.410439,-111.692187
HAVEN OF COTTONWOOD,035093,197 SOUTH WILLARD STREET,COTTONWOOD,Yavapai,0,0,6,0,41,0,1,0,34.737926,-112.027345
CARING HOUSE,035216,510 SOUTH OCOTILLO ROAD,SACATON,Pinal,3,10,20,0,69,18,222,0,33.24772,-111.836866
HAVEN OF SCOTTSDALE,035059,3293 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,Maricopa,0,1,7,0,45,6,3,0,33.48566,-111.923896
MOUNTAIN VIEW CARE CENTER,035232,1313 WEST MAGEE ROAD,TUCSON,Pima,11,6,10,1,72,5,6,0,32.351703,-110.993317
THE PEAKS HEALTH & REHABILITATION,035257,3150 NORTH WINDING BROOK ROAD,FLAGSTAFF,Coconino,0,3,0,0,29,9,18,1,35.233451,-111.660627
SABINO CANYON REHABILITATION & CARE CENTER,035151,5830 EAST PIMA STREET,TUCSON,Pima,2,2,7,1,86,1,2,0,32.243415,-110.868126
FREEDOM PLAZA CARE CENTER,035256,13714 NORTH PLAZA DEL RIO BLVD,PEORIA,Maricopa,1,3,8,1,46,14,10,0,33.608627,-112.257628
WINSLOW CAMPUS OF CARE,035254,826 WEST DESMOND STREET,WINSLOW,Navajo,0,0,8,0,101,5,8,0,35.03728,-110.70384
ASPIRE TRANSITIONAL CARE,035296,1521 NORTH PINE CLIFF DRIVE,FLAGSTAFF,Coconino,0,0,1,0,17,3,14,0,0,0
MOUNTAIN VIEW MANOR,035114,1045 SANDRETTO DRIVE,PRESCOTT,Yavapai,3,0,7,2,48,2,4,0,34.602671,-112.459052
IMMANUEL CAMPUS OF CARE,035250,11301 NORTH 99TH AVENUE,PEORIA,Maricopa,25,16,30,10,152,28,10,0,33.585642,-112.272547
THE GARDENS OF SCOTTSDALE,035259,6001 EAST THOMAS ROAD,SCOTTSDALE,Maricopa,0,0,2,0,32,10,0,0,33.480115,-111.950866
FRIENDSHIP VILLAGE OF TEMPE,035074,2525 EAST SOUTHERN AVENUE,TEMPE,Maricopa,12,9,22,3,74,47,39,0,33.392997,-111.884127
CAMELBACK POST ACUTE AND REHABILITATION,035088,4635 NORTH 14TH STREET,PHOENIX,Maricopa,41,19,7,4,79,4,0,0,33.505108,-112.051897
GOOD SAMARITAN SOCIETY-PRESCOTT VALLEY,035244,3380 NORTH WINDSONG DRIVE,PRESCOTT VALLEY,Yavapai,1,0,5,0,51,5,1,0,34.591787,-112.326617
LIFESTREAM AT COOK HEALTH CARE,035137,11527 WEST PEORIA AVE,YOUNGTOWN,Maricopa,5,7,20,9,56,19,20,0,33.580016,-112.304715
ARCHIE HENDRICKS SENIOR SKILLED NURSING FACILITY,035263,HCO 1 BOX 9100,SELLS,Pima,10,2,1,1,37,21,23,0,0,0
ACACIA HEALTH CENTER,035279,4555 EAST MAYO BLVD,PHOENIX,Maricopa,4,1,6,1,42,15,7,0,33.668008,-111.982045
CASAS ADOBES POST ACUTE REHAB CENTER,035070,1919 WEST MEDICAL STREET,TUCSON,Pima,77,51,44,29,89,43,48,0,32.321988,-111.007223
ARCHSTONE CARE CENTER,035130,1980 WEST PECOS ROAD,CHANDLER,Maricopa,19,3,13,3,60,18,6,0,33.291464,-111.873638
GOOD SAMARITAN SOCIETY-QUIBURI MISSION,035214,850 SOUTH HIGHWAY 80,BENSON,Cochise,0,7,7,0,54,2,0,0,31.955927,-110.286406
HAVEN OF SHOW LOW,035139,2401 EAST HUNT STREET,SHOW LOW,Navajo,22,1,32,8,38,16,5,0,34.203713,-110.014734
DESERT COVE NURSING CENTER,035095,1750 WEST FRYE ROAD,CHANDLER,Maricopa,10,14,9,9,54,10,7,0,33.298693,-111.872797
THE REHABILITATION CENTER AT THE PALAZZO,035116,6246 NORTH 19TH AVENUE,PHOENIX,Maricopa,1,1,24,4,46,1,0,1,33.528869,-112.099826
LIFE CARE CENTER OF SCOTTSDALE,035143,9494 EAST BECKER LANE,SCOTTSDALE,Maricopa,29,24,10,4,29,16,10,0,33.584108,-111.875915
WELLSPRINGS THERAPY CENTER OF PHOENIX,035293,3008 NORTH 3RD STREET,PHOENIX,Maricopa,1,0,2,0,30,6,0,0,33.48243,-112.069428
HERITAGE COURT POST ACUTE OF SCOTTSDALE,035083,3339 NORTH DRINKWATER BOULEVARD,SCOTTSDALE,Maricopa,41,12,19,1,49,29,10,0,33.487336,-111.921776
HAVASU REGIONAL MEDICAL CENTER,035287,1811  MESQUITE AVE,LAKE HAVASU CITY,Mohave,5,1,0,0,14,9,2,0,34.479129,-114.33832
ARIZONA STATE VETERAN HOME-PHX,035234,4141 NORTH S HERRERA WAY,PHOENIX,Maricopa,28,33,29,6,113,34,24,0,33.496140000000004,-112.06929
FOOTHILLS REHABILITATION CENTER,035064,2250 NORTH CRAYCROFT ROAD,TUCSON,Pima,9,47,1,1,116,28,5,0,32.249117,-110.87528600000002
"THE CENTER AT VAL VISTA, LLC",035291,3744 SOUTH ROME STREET,GILBERT,Maricopa,10,2,19,1,54,17,10,0,33.280783,-111.750965
