Facility Name,Facility Name Normalized,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment
FAIR HAVEN COUNTY HOME,FAIR HAVEN COUNTY HOME,20201104,OH,SHELBY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE LANDINGS,THE LANDINGS,20201104,OH,SHELBY,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst Meadows,AMHERST MEADOWS,20201104,OH,STARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canton Christian Home,CANTON CHRISTIAN HOME,20201104,OH,STARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury Senior Living Massillon,DANBURY SENIOR LIVING MASSILLON,20201104,OH,STARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenwood Care and Rehabilitation,GLENWOOD CARE AND REHABILITATION,20201104,OH,STARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Gables of Canton,THE GABLES OF CANTON,20201104,OH,STARK,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windsor Armstrong Memory Assisted Living,WINDSOR ARMSTRONG MEMORY ASSISTED LIVING,20201104,OH,TRUMBULL,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inn at Northwood AL,INN AT NORTHWOOD AL,20201104,OH,TUSCARAWAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Park Village Dover,PARK VILLAGE DOVER,20201104,OH,TUSCARAWAS,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Village,CEDAR VILLAGE,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Village of  Mason,CHRISTIAN VILLAGE OF MASON,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landing At Longcove,LANDING AT LONGCOVE,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Lebanon,OTTERBEIN LEBANON,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quaker Heights,QUAKER HEIGHTS,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Hills Senior Communities,SPRING HILLS SENIOR COMMUNITIES,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapestry Senior Living Springboro,TAPESTRY SENIOR LIVING SPRINGBORO,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Enclave,THE ENCLAVE,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sheridan,THE SHERIDAN,20201104,OH,WARREN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmcroft of Marietta,ELMCROFT OF MARIETTA,20201104,OH,WASHINGTON,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithville Western Care Center,SMITHVILLE WESTERN CARE CENTER,20201104,OH,WAYNE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Corner Health Care,HERITAGE CORNER HEALTH CARE,20201104,OH,WOOD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Pemberville,OTTERBEIN PEMBERVILLE,20201104,OH,WOOD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Perrysburg,OTTERBEIN PERRYSBURG,20201104,OH,WOOD,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRSI-Mary Ann Brown,CRSI-MARY ANN BROWN,20201104,OH,ALLEN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmwood Assisted Living,ELMWOOD ASSISTED LIVING,20201104,OH,AUGLAIZE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Center,HERITAGE CENTER,20201104,OH,AUGLAIZE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Cridersville,OTTERBEIN CRIDERSVILLE,20201104,OH,AUGLAIZE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein St Mary's,OTTERBEIN ST MARY'S,20201104,OH,AUGLAIZE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport Road Homes,AIRPORT ROAD HOMES,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Avenue,JOHN AVENUE,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Hope 2,MOUNT HOPE 2,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wiley Avenue ICF,WILEY AVENUE ICF,20201104,OH,BELMONT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson Lane,JACKSON LANE,20201104,OH,BUTLER,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takota Trails,TAKOTA TRAILS,20201104,OH,BUTLER,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Countryview Manor,COUNTRYVIEW MANOR,20201104,OH,CARROLL,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Johns Villa,SAINT JOHNS VILLA,20201104,OH,CARROLL,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developmental Disabilities of Clark County,DEVELOPMENTAL DISABILITIES OF CLARK COUNTY,20201104,OH,CLARK,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Camino,EL CAMINO,20201104,OH,CLARK,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentle Brook,GENTLE BROOK,20201104,OH,COSHOCTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellfaire,BELLFAIRE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braveheart IV,BRAVEHEART IV,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Support Services Willard Home,CONSUMER SUPPORT SERVICES WILLARD HOME,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hattie Larlham - Aurora Group Home,HATTIE LARLHAM - AURORA GROUP HOME,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEART AND HOME,HEART AND HOME,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koinonia - Van Aken,KOINONIA - VAN AKEN,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koinonia - Wallings,KOINONIA - WALLINGS,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koinonia Lee Home,KOINONIA LEE HOME,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koinonia Ridgeline House,KOINONIA RIDGELINE HOUSE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koinonia SMITH HOME,KOINONIA SMITH HOME,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeWorks-Indicus,LIFEWORKS-INDICUS,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LifeWorks-Viridis,LIFEWORKS-VIRIDIS,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOVE-N-CARE,LOVE-N-CARE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONARCH,MONARCH,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCC Alpha 3 House,NCC ALPHA 3 HOUSE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCC Royalton House ALPHA 2 HOUSE,NCC ROYALTON HOUSE ALPHA 2 HOUSE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCC Sprague House,NCC SPRAGUE HOUSE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Avenues for Independence on Euclid Avenue,NEW AVENUES FOR INDEPENDENCE ON EUCLID AVENUE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Avenues to Independence,NEW AVENUES TO INDEPENDENCE,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of the Wayside-Berea,OUR LADY OF THE WAYSIDE-BEREA,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warrensville Developmental Center,WARRENSVILLE DEVELOPMENTAL CENTER,20201104,OH,CUYAHOGA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCM Residential Services,UCM RESIDENTIAL SERVICES,20201104,OH,DARKE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Center for Human Services-Park West Court,COLUMBUS CENTER FOR HUMAN SERVICES-PARK WEST COURT,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Developmental Center,COLUMBUS DEVELOPMENTAL CENTER,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embracing Autism,EMBRACING AUTISM,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heinzerling Community Homes,HEINZERLING COMMUNITY HOMES,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heinzerling Developmental Center,HEINZERLING DEVELOPMENTAL CENTER,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heinzerling Memorial Foundation,HEINZERLING MEMORIAL FOUNDATION,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I am Boundless,I AM BOUNDLESS,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rescare,RESCARE,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viaquest-Furth,VIAQUEST-FURTH,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viaquest-Roselawn,VIAQUEST-ROSELAWN,20201104,OH,FRANKLIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rescare,RESCARE,20201104,OH,GALLIA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toward Independence,TOWARD INDEPENDENCE,20201104,OH,GREENE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affinity Place Mt Healthy,AFFINITY PLACE MT HEALTHY,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carini Group Home,CARINI GROUP HOME,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraceWorks Enhanced Living Kemper,GRACEWORKS ENHANCED LIVING KEMPER,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraceWorks Enhanced Living Springdale,GRACEWORKS ENHANCED LIVING SPRINGDALE,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GraceWorks Enhanced Living Wyoming Home,GRACEWORKS ENHANCED LIVING WYOMING HOME,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mimi's House,MIMI'S HOUSE,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential Management Systems - Thomwood,RESIDENTIAL MANAGEMENT SYSTEMS - THOMWOOD,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Joseph Home,ST JOSEPH HOME,20201104,OH,HAMILTON,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filling Home-DD,FILLING HOME-DD,20201104,OH,HENRY,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake County Board of Developmental Disabilities Deepwood,LAKE COUNTY BOARD OF DEVELOPMENTAL DISABILITIES DEEPWOOD,20201104,OH,LAKE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison Village Manor,MADISON VILLAGE MANOR,20201104,OH,LAKE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio Living Breckenridge Village Assisted Living,OHIO LIVING BRECKENRIDGE VILLAGE ASSISTED LIVING,20201104,OH,LAKE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of the Wayside,OUR LADY OF THE WAYSIDE,20201104,OH,LORAIN,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne Grady,ANNE GRADY,20201104,OH,LUCAS,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bittersweet Farms,BITTERSWEET FARMS,20201104,OH,LUCAS,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Ohio Developmental Center,NORTHWEST OHIO DEVELOPMENTAL CENTER,20201104,OH,LUCAS,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunshine Children's Home,SUNSHINE CHILDREN'S HOME,20201104,OH,LUCAS,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurel House,LAUREL HOUSE,20201104,OH,MEDINA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neff House,NEFF HOUSE,20201104,OH,MEDINA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHC-Tischer House,SHC-TISCHER HOUSE,20201104,OH,MEDINA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briarwood Village,BRIARWOOD VILLAGE,20201104,OH,MERCER,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echoing Valley,ECHOING VALLEY,20201104,OH,MONTGOMERY,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echoing Woods,ECHOING WOODS,20201104,OH,MONTGOMERY,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stillwater Center,STILLWATER CENTER,20201104,OH,MONTGOMERY,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altercare,ALTERCARE,20201104,OH,NOBLE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Home of Mercy,LUTHER HOME OF MERCY,20201104,OH,OTTAWA,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hattie Larlham,HATTIE LARLHAM,20201104,OH,PORTAGE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence of Portage Co Lincoln,INDEPENDENCE OF PORTAGE CO LINCOLN,20201104,OH,PORTAGE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vista Veranda,VISTA VERANDA,20201104,OH,PORTAGE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Concepts,COMMUNITY CONCEPTS,20201104,OH,PREBLE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foundations,FOUNDATIONS,20201104,OH,PREBLE,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advancing Abilities- Scioto Trails Group Homes,ADVANCING ABILITIES- SCIOTO TRAILS GROUP HOMES,20201104,OH,ROSS,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bernita Corporation,BERNITA CORPORATION,20201104,OH,SCIOTO,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scioto Residential Services,SCIOTO RESIDENTIAL SERVICES,20201104,OH,SCIOTO,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winchester House Group Home,WINCHESTER HOUSE GROUP HOME,20201104,OH,SUMMIT,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Addison Healthcare Center,ADDISON HEALTHCARE CENTER,20201104,OH,TRUMBULL,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Lane Residential Werner House,WOOD LANE RESIDENTIAL WERNER HOUSE,20201104,OH,WOOD,,Intermediate Care Facility,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adams County Manor,ADAMS COUNTY MANOR,20201104,OH,ADAMS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Creek,EAGLE CREEK,20201104,OH,ADAMS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monarch Meadows,MONARCH MEADOWS,20201104,OH,ADAMS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CareCore at Lima,CARECORE AT LIMA,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberty Nursing Centers of Lima,LIBERTY NURSING CENTERS OF LIMA,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lima Convalescent Home,LIMA CONVALESCENT HOME,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lima Manor,LIMA MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Creek,LOST CREEK,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mennonite Memorial Home,MENNONITE MEMORIAL HOME,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roselawn Manor,ROSELAWN MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Jane Living Center,SARAH JANE LIVING CENTER,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shawnee Manor,SHAWNEE MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Springview Manor,SPRINGVIEW MANOR,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Meadows of Delphos,THE MEADOWS OF DELPHOS,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Springs of Lima,THE SPRINGS OF LIMA,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancrest of Delphos,VANCREST OF DELPHOS,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willow Ridge,WILLOW RIDGE,20201104,OH,ALLEN,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brethren Care Village,BRETHREN CARE VILLAGE,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colonial Manor Health Care Center,COLONIAL MANOR HEALTH CARE CENTER,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston of Ashland,KINGSTON OF ASHLAND,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSS The Good Shepherd Skilled Nursing and Rehab,LSS THE GOOD SHEPHERD SKILLED NURSING AND REHABILITATION,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Martin Assisted Living Martin House Apartments,ST MARTIN ASSISTED LIVING MARTIN HOUSE APARTMENTS,20201104,OH,ASHLAND,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andover Village Skilled Nursing and Rehabilitation,ANDOVER VILLAGE SKILLED NURSING AND REHABILITATION,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashtabula County Nursing Home,ASHTABULA COUNTY NURSING HOME,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARINGTON PARK,CARINGTON PARK,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTRY CLUB RETIREMENT CAMPUS III,COUNTRY CLUB RETIREMENT CAMPUS III,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generations Behavioral Health - Geneva,GENERATIONS BEHAVIORAL HEALTH - GENEVA,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geneva Shores,GENEVA SHORES,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson Healthcare Center,JEFFERSON HEALTHCARE CENTER,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Pointe Rehabilitation and Nursing,LAKE POINTE REHABILITATION AND NURSING,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saybrook Landing,SAYBROOK LANDING,20201104,OH,ASHTABULA,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hickory Creek of Athens,HICKORY CREEK OF ATHENS,20201104,OH,ATHENS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimes Nursing and Rehab,KIMES NURSING AND REHABILITATION,20201104,OH,ATHENS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Laurels of Athens,THE LAURELS OF ATHENS,20201104,OH,ATHENS,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cridersville Healthcare Center,CRIDERSVILLE HEALTHCARE CENTER,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grande Lake Healthcare,GRANDE LAKE HEALTHCARE,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heritage Center,HERITAGE CENTER,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Cridersville,OTTERBEIN CRIDERSVILLE,20201104,OH,AUGLAIZE,,Nursing Home,Nursing Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
